group_type,group_name,scenario,metric,n_attempted,n_normally_completed,n_excluded,excluded_reasons,median,q1,q3,iqr,maximum
input_batch,01_right_angle_turn/input_01_original,1,position_error_rms,10,10,0,,0.06341813930944204,0.06229700022993814,0.06379251518394297,0.001495514954004823,0.06655412688970601
input_batch,01_right_angle_turn/input_01_original,1,position_error_p95,10,10,0,,0.12632462803989597,0.12280911614412832,0.12953687759877744,0.006727761454649123,0.13821982180200001
input_batch,01_right_angle_turn/input_01_original,1,position_error_max,10,10,0,,0.1502634811120071,0.14424938795150416,0.16329570797356535,0.01904632002206119,0.1959846287188421
input_batch,01_right_angle_turn/input_01_original,1,path_error_rms,10,10,0,,0.019996537817706744,0.019522908666837428,0.02052376435742456,0.001000855690587131,0.021913920135692197
input_batch,01_right_angle_turn/input_01_original,1,path_error_p95,10,10,0,,0.05261290715707856,0.04977875905895885,0.053922486842042684,0.004143727783083834,0.05628930510563939
input_batch,01_right_angle_turn/input_01_original,1,path_error_max,10,10,0,,0.06822186486221019,0.06546758456269051,0.07003104766784127,0.004563463105150753,0.0725508179350083
input_batch,01_right_angle_turn/input_01_original,1,heading_abs_error_rms,10,10,0,,0.1720535707467765,0.1680742159556376,0.17679174470364656,0.008717528748008962,0.1835287500364979
input_batch,01_right_angle_turn/input_01_original,1,final_position_error,10,10,0,,0.008876809675370575,0.007764550462230053,0.011051890407177165,0.003287339944947112,0.012456352496848844
input_batch,01_right_angle_turn/input_01_original,1,final_heading_abs_error,10,10,0,,0.09886523076655829,0.09766823755477139,0.09964095195992628,0.001972714405154896,0.09993672815736732
input_batch,01_right_angle_turn/input_01_original,1,execution_time,10,10,0,,12.291993379592896,12.260541498661041,12.317060947418213,0.05651944875717163,12.342313289642334
input_batch,01_right_angle_turn/input_01_original,1,execution_time_increase_percent,10,10,0,,4.746776531572183,4.640055056871602,4.767145276329703,0.1270902194581014,5.060395476888737
input_batch,02_right_angle_overlapping_circles/input_01_original,2,position_error_rms,21,19,2,end_reason=timeout,0.0592432010250192,0.05561897035033447,0.07279374400872007,0.0171747736583856,0.20101282407353419
input_batch,02_right_angle_overlapping_circles/input_01_original,2,position_error_p95,21,19,2,end_reason=timeout,0.12634082387085036,0.08920659840023108,0.15492518146342113,0.06571858306319005,0.4379779955887368
input_batch,02_right_angle_overlapping_circles/input_01_original,2,position_error_max,21,19,2,end_reason=timeout,0.13758789194413912,0.09650780937707282,0.1754381251083658,0.07893031573129297,0.44714989742973654
input_batch,02_right_angle_overlapping_circles/input_01_original,2,path_error_rms,21,19,2,end_reason=timeout,0.053467328679155865,0.0493028472202926,0.06294572967016548,0.013642882449872884,0.09244969313475296
