run_id,relative_path,batch,scenario,title,session,run_index,end_reason,normally_completed,exclusion_reason,t_start,t_end,stored_execution_time,theoretical_time,start_pose_predefined,start_pose_used,goal_pose,n_reference_samples,n_measured_samples_total,n_command_samples_total,n_measured_samples_execution,n_command_samples_compared,n_pose_samples_after_reference_end,final_sample_time_offset,final_position_error,final_heading_abs_error,execution_time,execution_time_increase,execution_time_increase_percent,position_error_median,position_error_rms,position_error_p95,position_error_max,position_error_mean,heading_abs_error_median,heading_abs_error_rms,heading_abs_error_p95,heading_abs_error_max,heading_abs_error_mean,path_error_median,path_error_rms,path_error_p95,path_error_max,reference_command_v_rms_difference,reference_command_omega_rms_difference
s10sept_run015,02_right_angle_overlapping_circles/input_01_original/s10sept_run015.json,02_right_angle_overlapping_circles/input_01_original,2,Experiment 2 - Right-Angle Turn (overlapping circles),s10sept,15,goal_reached,True,,1789050363.4452212,1789050367.6656168,4.220395565032959,3.5488318050053387,"[1.33, -0.34, 2.356194490192345]","[1.3383480119442859, -0.33798040238834215, 2.326076252729143]","[1.76, 0.22, -0.5235987755982988]",37,214,43,213,36,39,0.0,0.03691021339873441,0.09447480642752515,4.220395565032959,0.6715637600276203,18.923516157639092,0.04866929290475677,0.05223131207164417,0.08660160583309276,0.10330837684993187,0.04496486291104898,0.43102204828150814,0.487926408481656,0.7524819664189583,0.9117332450471611,0.4353856801252408,0.04638704210635221,0.048677671677025997,0.08249273551860152,0.09291481656267217,0.10663775737990273,0.7272734995616147
s10sept_run016,02_right_angle_overlapping_circles/input_01_original/s10sept_run016.json,02_right_angle_overlapping_circles/input_01_original,2,Experiment 2 - Right-Angle Turn (overlapping circles),s10sept,16,goal_reached,True,,1789050380.4454215,1789050385.4265933,4.9811718463897705,3.595478668374022,"[1.33, -0.34, 2.356194490192345]","[1.3421464925468467, -0.33435459186265915, 2.390056549936487]","[1.76, 0.22, -0.5235987755982988]",37,255,50,253,36,70,0.0,0.04963775954710048,0.013898908681284183,4.9811718463897705,1.3856931780157487,38.53988038378208,0.05932343642163592,0.059461253668336565,0.09402363820866011,0.09867528154884099,0.05186048949426767,0.3971939693847517,0.4914554155756822,0.8321004325467938,0.9726408366744899,0.40537769605600066,0.05730813572248086,0.056808073399342775,0.09156950659727445,0.09712373222557816,0.11406495874940449,0.7343304050444032
s10sept_run017,02_right_angle_overlapping_circles/input_01_original/s10sept_run017.json,02_right_angle_overlapping_circles/input_01_original,2,Experiment 2 - Right-Angle Turn (overlapping circles),s10sept,17,goal_reached,True,,1789050396.044533,1789050400.6866415,4.64210844039917,3.5259057691215094,"[1.33, -0.34, 2.356194490192345]","[1.3263384408276297, -0.3480865808683684, 2.3403775107114764]","[1.76, 0.22, -0.5235987755982988]",37,231,47,230,36,52,0.0,0.04985043567399517,0.04020457230791097,4.64210844039917,1.1162026712776605,31.65718951008058,0.05912654602600166,0.058366953919680394,0.09180588184679468,0.10062685350363836,0.05158203480379776,0.39675957979737064,0.43342801852525875,0.6891551875056884,0.7226686491989933,0.38033531680249405,0.05679633940506178,0.05524113280880042,0.08679487584843276,0.10003640289149911,0.10708206076212344,0.7357043701256593
s10sept_run018,02_right_angle_overlapping_circles/input_01_original/s10sept_run018.json,02_right_angle_overlapping_circles/input_01_original,2,Experiment 2 - Right-Angle Turn (overlapping circles),s10sept,18,goal_reached,True,,1789050412.3438177,1789050416.5058007,4.161983013153076,3.6081782276548293,"[1.33, -0.34, 2.356194490192345]","[1.315794625292782, -0.35358985436057644, 2.5175724247044093]","[1.76, 0.22, -0.5235987755982988]",38,213,42,209,37,28,0.0,0.048589942210047296,0.09846123566024545,4.161983013153076,0.5538047854982469,15.348598393882492,0.05438678349508247,0.053071574331666156,0.08843461504919804,0.09366135608164962,0.046936292729894004,0.3798680928831155,0.3886951606958416,0.5729969668605456,0.6939502288058734,0.3550227835457507,0.051967835712698536,0.048842786840822626,0.08493150058694583,0.0927360175415525,0.10560574676632926,0.7314276887020258
s10sept_run019,02_right_angle_overlapping_circles/input_01_original/s10sept_run019.json,02_right_angle_overlapping_circles/input_01_original,2,Experiment 2 - Right-Angle Turn (overlapping circles),s10sept,19,goal_reached,True,,1789050431.3465838,1789050435.5661097,4.2195258140563965,3.6429875710274118,"[1.33, -0.34, 2.356194490192345]","[1.316307665952204, -0.33618388458590065, 2.453088654918017]","[1.76, 0.22, -0.5235987755982988]",38,216,43,215,37,29,0.0,0.044936023553407464,0.09397749352626539,4.2195258140563965,0.5765382430289847,15.82597337455057,0.05175913768337867,0.051128400321070695,0.08633812737140824,0.0944399222924267,0.04474425342291835,0.35402029404356705,0.37374267568910696,0.5790823867560149,0.7523166391431508,0.3370206659616049,0.04883421781936422,0.04655298416798259,0.08120074991834124,0.09283053739459532,0.13055049428198895,0.7401080425033378
s10sept_run020,02_right_angle_overlapping_circles/input_01_original/s10sept_run020.json,02_right_angle_overlapping_circles/input_01_original,2,Experiment 2 - Right-Angle Turn (overlapping circles),s10sept,20,goal_reached,True,,1789050447.3431342,1789050453.9062824,6.563148260116577,3.6438834024927713,"[1.33, -0.34, 2.356194490192345]","[1.3038702825485156, -0.34480409315932814, 2.494129026428292]","[1.76, 0.22, -0.5235987755982988]",38,331,66,329,37,151,0.0,0.04966699150886269,0.030315377035318836,6.563148260116577,2.919264857623806,80.1141127519817,0.05978077664101877,0.06927551161921215,0.12634082387085036,0.1688814429085814,0.06101851856980848,0.28643769510959594,0.3944693245299181,0.737312468255646,0.855985722899919,0.30003191308144184,0.059344451872858806,0.06462151172483852,0.11003948038194232,0.13110818791035153,0.09770637219904936,0.7271458941319701
s10septs2_run001,02_right_angle_overlapping_circles/input_01_original/s10septs2_run001.json,02_right_angle_overlapping_circles/input_01_original,2,Experiment 2 - Right-Angle Turn (overlapping circles),s10septs2,1,timeout,False,end_reason=timeout,1789052211.7310467,,20.513821840286255,3.5696541760891405,"[1.33, -0.34, 2.356194490192345]","[1.326995752596619, -0.3545159442993513, 2.479292850571327]","[1.76, 0.22, -0.5235987755982988]",73,1038,133,,,,,,,,,,,,,,,,,,,,,,,,,
s10septs2_run002,02_right_angle_overlapping_circles/input_01_original/s10septs2_run002.json,02_right_angle_overlapping_circles/input_01_original,2,Experiment 2 - Right-Angle Turn (overlapping circles),s10septs2,2,goal_reached,True,,1789052255.8617032,1789052260.1449108,4.283207654953003,3.5333272752925384,"[1.33, -0.34, 2.356194490192345]","[1.3354004029691309, -0.3430078896665658, 2.335205238701264]","[1.76, 0.22, -0.5235987755982988]",72,219,86,216,71,38,0.0,0.03978817262164893,0.09725231697482117,4.283207654953003,0.7498803796604645,21.22306600082436,0.04769504540613264,0.08099845646968765,0.18726727316706548,0.19621948371923886,0.060448507844926794,0.5753703619853578,0.7173302430503105,1.2954220523726405,1.4748207636688129,0.6245373002000622,0.04556892307537733,0.06262570638820329,0.13023866517603136,0.13594819173359807,0.1149505085636471,1.0899736241370734
s10septs2_run003,02_right_angle_overlapping_circles/input_01_original/s10septs2_run003.json,02_right_angle_overlapping_circles/input_01_original,2,Experiment 2 - Right-Angle Turn (overlapping circles),s10septs2,3,goal_reached,True,,1789052292.1113613,1789052296.2648783,4.153517007827759,3.4846688953566236,"[1.33, -0.34, 2.356194490192345]","[1.3341625905347183, -0.3270429653070943, 2.078910742448845]","[1.76, 0.22, -0.5235987755982988]",71,210,84,208,70,34,0.0,0.026373374077472405,0.09246284387717285,4.153517007827759,0.6688481124711352,19.19402194459238,0.037909979723502754,0.06571749363246643,0.15007108678769826,0.16051029225315333,0.05007680483274819,0.5039038728845961,0.6425379859433569,1.146693621226106,1.202278365635225,0.5524493086910345,0.03507721164990132,0.053467328679155865,0.11174816233903044,0.11566132970275646,0.10318508133579972,0.9220116233525347
s10septs2_run004,02_right_angle_overlapping_circles/input_01_original/s10septs2_run004.json,02_right_angle_overlapping_circles/input_01_original,2,Experiment 2 - Right-Angle Turn (overlapping circles),s10septs2,4,goal_reached,True,,1789052315.7107763,1789052319.8246694,4.113893032073975,3.468756404607292,"[1.33, -0.34, 2.356194490192345]","[1.3389644701386565, -0.33661880447357717, 2.153825186173309]","[1.76, 0.22, -0.5235987755982988]",71,209,83,206,70,33,0.0,0.02659563288902351,0.09366932453484234,4.113893032073975,0.6451366274666825,18.598499064673305,0.03678196406721532,0.061253036692981065,0.13967033429586104,0.1492760562867552,0.0467623942897712,0.5008269400813974,0.621635008801133,1.0945746402339096,1.2734802210326057,0.5409598804085124,0.035125633101826106,0.051327428046588436,0.10861251752799973,0.11595354336906263,0.09210749828330002,0.9688622614405056
s10septs2_run005,02_right_angle_overlapping_circles/input_01_original/s10septs2_run005.json,02_right_angle_overlapping_circles/input_01_original,2,Experiment 2 - Right-Angle Turn (overlapping circles),s10septs2,5,goal_reached,True,,1789052335.0145636,1789052339.0851915,4.070627927780151,3.3823260531193426,"[1.33, -0.34, 2.356194490192345]","[1.3443480433664863, -0.3447417345501069, 2.0706103045796533]","[1.76, 0.22, -0.5235987755982988]",69,208,82,207,68,35,0.0,0.01827210669640271,0.08660735057249358,4.070627927780151,0.6883018746608087,20.349956327422184,0.03470619584972435,0.0592432010250192,0.1361824768972394,0.1464726798119635,0.04439647078508291,0.564408570287513,0.6876142517603147,1.2061096573986019,1.421740814511141,0.5922385014485755,0.032587084588729935,0.04835481895776392,0.10519363008713731,0.11460684185564943,0.09856879666792984,1.007388399721197
s10septs2_run006,02_right_angle_overlapping_circles/input_01_original/s10septs2_run006.json,02_right_angle_overlapping_circles/input_01_original,2,Experiment 2 - Right-Angle Turn (overlapping circles),s10septs2,6,goal_reached,True,,1789052354.816379,1789052358.8246458,4.0082666873931885,3.360911292583406,"[1.33, -0.34, 2.356194490192345]","[1.3409348381447084, -0.3468110241223852, 2.037807834233375]","[1.76, 0.22, -0.5235987755982988]",69,203,81,201,68,33,0.0,0.023886411538595408,0.09267560482137327,4.0082666873931885,0.6473553948097823,19.26130559406061,0.036666119688862006,0.05784809557245683,0.1289350819250331,0.13758789194413912,0.04507484620703903,0.4975800825637813,0.6263445859334822,1.1032151298050819,1.2812590897131138,0.5404909713616297,0.034489968064399815,0.04870273748954446,0.10074361143534238,0.10922413866203176,0.09184286617366788,0.9335893551771982
s10septs2_run007,02_right_angle_overlapping_circles/input_01_original/s10septs2_run007.json,02_right_angle_overlapping_circles/input_01_original,2,Experiment 2 - Right-Angle Turn (overlapping circles),s10septs2,7,goal_reached,True,,1789052374.972692,1789052384.4247048,9.452012777328491,3.2844020484345213,"[1.33, -0.34, 2.356194490192345]","[1.3411826287385806, -0.3547793336423384, 1.9524782824531683]","[1.76, 0.22, -0.5235987755982988]",67,477,127,475,66,309,0.0,0.04798036600218783,0.040916376556752176,9.452012777328491,6.16761072889397,187.78488863242862,0.06260817488020792,0.07631197639822801,0.159779276139144,0.19962138993986633,0.06717119314351175,0.016275658544844696,0.4792849182310436,1.2319489295776964,1.3029694495138395,0.28191592907071433,0.06255369033377634,0.06757360883235305,0.1200051759782369,0.1469190326152223,0.1338505649723714,1.2177753731098795
s10septs2_run008,02_right_angle_overlapping_circles/input_01_original/s10septs2_run008.json,02_right_angle_overlapping_circles/input_01_original,2,Experiment 2 - Right-Angle Turn (overlapping circles),s10septs2,8,goal_reached,True,,1789052398.281916,1789052402.3447795,4.06286358833313,3.334279733954175,"[1.33, -0.34, 2.356194490192345]","[1.3285653826282957, -0.3515659425447262, 1.9905271468012038]","[1.76, 0.22, -0.5235987755982988]",68,209,82,205,68,37,0.0,0.042173259522241276,0.09209904015829373,4.06286358833313,0.7285838543789547,21.851311602908478,0.0509308933465745,0.07673722636933672,0.17023357534056888,0.18199480730815018,0.059167187223060726,0.55222685229973,0.7046836408902634,1.2665276008689166,1.4250989682306772,0.6057913551000187,0.047285366754846285,0.06326575295212766,0.12963473633804332,0.1348941615908852,0.10365447923838947,1.0185580404228691
s10septs2_run009,02_right_angle_overlapping_circles/input_01_original/s10septs2_run009.json,02_right_angle_overlapping_circles/input_01_original,2,Experiment 2 - Right-Angle Turn (overlapping circles),s10septs2,9,goal_reached,True,,1789052416.791026,1789052420.9664845,4.1754584312438965,3.3185330279080443,"[1.33, -0.34, 2.356194490192345]","[1.332013336549345, -0.34193361798990507, 1.8881511037463057]","[1.76, 0.22, -0.5235987755982988]",68,213,83,211,65,43,0.0,0.04767187434364734,0.0916743722973159,4.1754584312438965,0.8569254033358522,25.822415993130726,0.06959586477381224,0.10564068305651715,0.22909497254959782,0.2720634016948555,0.0809137983122192,0.6932878804938376,0.8804314766708665,1.6276800044506987,1.6766069052214752,0.7474059645928232,0.05058347215840965,0.06991438862155379,0.1432483767468536,0.14627921783804426,0.16605283724287048,1.526715459697711
s10septs2_run010,02_right_angle_overlapping_circles/input_01_original/s10septs2_run010.json,02_right_angle_overlapping_circles/input_01_original,2,Experiment 2 - Right-Angle Turn (overlapping circles),s10septs2,10,goal_reached,True,,1789052436.7981455,1789052441.3847244,4.586578845977783,3.427042745634112,"[1.33, -0.34, 2.356194490192345]","[1.333735649511745, -0.3409846699656933, 2.100640176692786]","[1.76, 0.22, -0.5235987755982988]",70,236,90,230,67,58,0.0,0.04664330968203106,0.08883107201351148,4.586578845977783,1.1595361003436713,33.83488874834913,0.07021485132148597,0.20101282407353419,0.4379779955887368,0.44714989742973654,0.140213977199965,0.6890286818490903,1.0668255192196356,1.973659883473557,2.0978003162227754,0.8952321118176382,0.060918823674625255,0.09244969313475296,0.17326189335665224,0.17549083244494793,0.2731063352394227,1.928519965591833
s10septs2_mod_run001,02_right_angle_overlapping_circles/input_02_updated_start_and_goal/s10septs2_mod_run001.json,02_right_angle_overlapping_circles/input_02_updated_start_and_goal,2,Experiment 2 - Right-Angle Turn (overlapping circles),s10septs2_mod,1,goal_reached,True,,1789055772.2190444,1789055775.2655666,3.0465221405029297,2.7108930279251675,"[1.33, -0.54, 1.5707963267948966]","[1.3428763497198763, -0.5383565344619492, 1.6537292701854438]","[1.82, 0.22, -0.5235987755982988]",56,163,62,153,55,17,0.0,0.04960702519000053,0.008156605651152837,3.0465221405029297,0.3356291125777622,12.380758263805127,0.06273205485885365,0.0667562768573043,0.10432473401583357,0.1089139673231939,0.06138387904410248,0.4278278063423877,0.40462118299574784,0.6023008800346024,0.6223543605991235,0.3639521664017527,0.05186285479286138,0.053018408470979037,0.0972180913520745,0.10505855170323457,0.11907832953282324,0.822566403444927
