session,run_index,scenario,start_pose_source,stamp,end_criterion,placement_error_xy,placement_error_yaw,theoretical_time,theoretical_time_to_radius,execution_time,time_overhead,time_ratio,time_overhead_to_radius,time_ratio_to_radius,cross_track_mean,cross_track_rms,cross_track_max,tracking_mean,tracking_rms,tracking_max,heading_error_rms,final_position_error,final_heading_error,final_heading_error_vs_entry,reference_path_length,executed_path_length,path_length_ratio,end_reason
s10septs2_last,1,2,measured,1789056988.783295,pose,0.01024906153162785,0.014230127132403902,3.3435308774672095,3.29353087746721,3.2529714107513428,-0.09055946671586668,0.9729150200687043,-0.0405594667158673,0.9876851111391255,0.027717948328788048,0.03328504038919962,0.059592180797559076,0.05571431290106888,0.05941677956923846,0.0994815718580297,0.2510730110791626,0.04838058917360709,0.09296284114677135,0.007037158853228753,1.4953842543887725,1.5679148955180193,1.0485030124641062,goal_reached
s10septs2_last,2,2,measured,1789057010.1838777,pose,0.010355622921076106,0.024468580847203603,3.3236784130981203,3.2736784130981205,3.289825439453125,-0.03385297364499529,0.9898146061569658,0.016147026355004535,1.0049323801294592,0.02962888688889256,0.035245543784393416,0.05962005309927533,0.060014979062233464,0.06533318729427358,0.13280458780845938,0.23947491411070265,0.04812266763103278,0.09071866475482615,0.009281335245173938,1.4950880241772837,1.5735033474218372,1.0524486331082104,goal_reached
s10septs2_last,3,2,measured,1789057024.2908878,pose,0.01215990479788345,0.0210329890257841,3.3253978190559588,3.27539781905596,3.256361246109009,-0.06903657294694998,0.9792396047921422,-0.019036572946951047,0.9941880119611126,0.02575171225386733,0.03085391178510424,0.05704153105426244,0.05859071785350207,0.06407738241959798,0.11663148034041072,0.24409556469085647,0.046888884536444936,0.08449855000149498,0.015501449998505112,1.4977305362231612,1.5631194422433807,1.0436586585095016,goal_reached
s10septs2_last,4,2,measured,1789057036.7773252,pose,0.011397572621021767,0.008779697786122977,3.340843180665023,3.290843180665023,3.306396722793579,-0.03444645787144385,0.989689292191025,0.015553542128555975,1.004726309117353,0.025603262949717424,0.03207425536468031,0.06361999442038498,0.0560086844415892,0.062294061638643185,0.11278311105759053,0.24946990643798328,0.0499047751782407,0.03069523259337137,0.06930476740662873,1.4971025531063857,1.5733329072923836,1.0509185920682755,goal_reached
s10septs2_last,5,2,measured,1789057052.054109,pose,0.012097070101982183,0.027531677173613378,3.3458334194323083,3.295833419432308,3.2712371349334717,-0.0745962844988366,0.9777047225167912,-0.02459628449883633,0.9925371578691399,0.028267978847200042,0.03454176904150113,0.062037173176665746,0.05635992712465037,0.06083796226024096,0.11438492500416976,0.24902084050838755,0.04977567049769588,0.08898310788589425,0.011016892114105836,1.4942594228764985,1.5738181734469459,1.0532429304794304,goal_reached
s10septs2_last,6,2,measured,1789057067.1388748,pose,0.013039479438878968,0.03713590748756079,3.341566605443175,3.2915666054431756,3.4284780025482178,0.08691139710504281,1.0260091769421775,0.1369113971050422,1.0415946002364453,0.029703899670883965,0.036071897052729285,0.06434604267701918,0.06160261512401408,0.06737608098073516,0.12714536993036163,0.24171881234121975,0.049706407729925364,0.004396997971709116,0.09560300202829097,1.5096399458646,1.6016091880720744,1.060921309388645,goal_reached
s10septs2_last,7,2,measured,1789057081.377702,pose,0.008643818283915056,0.0898890968339856,3.3864547450711457,3.336454745071146,3.3308510780334473,-0.05560366703769848,0.9835805669281046,-0.005603667037698656,0.9983204726376173,0.026126679282129386,0.030719378210757903,0.052119709991477026,0.0484723802976323,0.05412126018769121,0.0947392624640187,0.253703263927115,0.04545304520950199,0.0816573508023839,0.01834264919761619,1.497282046231402,1.5702286093536104,1.048719319987715,goal_reached
s10septs2_last,8,2,measured,1789057093.881786,pose,0.010143342287023207,0.00962514346420451,3.356141719049348,3.3061417190493483,3.2665514945983887,-0.08959022445095943,0.9733055895874574,-0.03959022445095961,0.9880252488201433,0.022135006584966605,0.028349405517230905,0.057391355965124506,0.057371667199698266,0.0661869135128747,0.12373861081618157,0.27519889178697887,0.04407681388361208,0.09775899182641722,0.002241008173582859,1.5040875831296592,1.5572097324427858,1.0353185212809162,goal_reached
s10septs2_last,9,2,measured,1789057105.6019762,pose,0.01096168390806741,0.007018185995837589,3.3488832742553107,3.2988832742553114,3.2291505336761475,-0.11973274057916328,0.9642469651003921,-0.0697327405791639,0.9788617132581312,0.02855187589343042,0.03480698786171354,0.06421399564800773,0.05889089506172187,0.06345447120908577,0.10677397958428468,0.26001732394851756,0.04877463065673779,0.04618804910263031,0.053811950897369794,1.5022562735838005,1.5781205324441678,1.0505002110454726,goal_reached
s10septs2_last,10,2,measured,1789057116.8128145,pose,0.008503480536855283,0.1809727611543348,3.2758427499093266,3.2258427499093267,3.2170112133026123,-0.05883153660671425,0.9820407934390799,-0.00883153660671443,0.9972622544583233,0.02394745979116344,0.028984761415484436,0.05554817122489407,0.06720612353880917,0.07705379022598788,0.14385218476485276,0.23240316471499398,0.049476446017161224,0.09789386262986312,0.002106137370136985,1.5028332124537505,1.5642787448976887,1.0408864616078142,goal_reached
