session,run_index,scenario,start_pose_source,stamp,end_criterion,placement_error_xy,placement_error_yaw,theoretical_time,theoretical_time_to_radius,execution_time,time_overhead,time_ratio,time_overhead_to_radius,time_ratio_to_radius,cross_track_mean,cross_track_rms,cross_track_max,tracking_mean,tracking_rms,tracking_max,heading_error_rms,final_position_error,final_heading_error,final_heading_error_vs_entry,reference_path_length,executed_path_length,path_length_ratio,end_reason
s10septs4,1,4,measured,1789055027.6084907,pose,0.0034689097132106503,0.03248972605960826,8.694105605305909,8.59409502960721,8.536888837814331,-0.15721676749157787,0.9819168555537638,-0.057206191792879224,0.9933435467497392,0.013713689591055159,0.01696405009508589,0.03333157463455011,0.06306446430040226,0.06723553343441431,0.13875084072102306,0.05319731628548233,0.046929955330619604,0.08448675888509272,0.03018048159966138,4.34675896244272,4.280568440519976,0.9847724425268,goal_reached
s10septs4,2,4,measured,1789055052.9688094,pose,0.004567083716127957,0.1390142647497504,8.69671611596075,8.596705517554561,8.565064907073975,-0.13165120888677606,0.98486196316732,-0.03164061048058642,0.9963194493034598,0.01177355087328681,0.014587332469993965,0.03042054325687889,0.05208071420445143,0.060360803136983776,0.1952062595129354,0.054082543836862465,0.044778122899201016,0.08078117430141485,0.026474897015983823,4.348076001068024,4.28335100281212,0.9851141060459833,goal_reached
s10septs4,3,4,measured,1789055075.516453,pose,0.003358155667446206,0.1480464598106785,8.689608409312243,8.589597870909076,8.574421405792236,-0.11518700352000621,0.9867442814342974,-0.015176465116839566,0.9982331576699023,0.012204432476892428,0.014914498214221965,0.034157325991256676,0.051833202991181215,0.059863683400428865,0.18897011640011815,0.04813980763271962,0.04458338787678419,0.06296520280894924,0.008658925523518213,4.3445330643290845,4.2848073985911235,0.986252684729611,goal_reached
s10septs4,4,4,measured,1789055103.3923857,pose,0.007230549095296834,0.07500292506862473,8.701684677059317,8.60167409101999,8.596670627593994,-0.10501404946532311,0.9879317565089233,-0.005003463425996557,0.9994183151589968,0.014601011088113644,0.017997713000152286,0.03688595251810142,0.054120407577573526,0.062104631862652186,0.19939469678748947,0.04619053877011016,0.04642603912399175,0.08752945153214986,0.033223174246718605,4.350564569171707,4.285044215189918,0.9849398042621711,goal_reached
s10septs4,5,4,measured,1789055127.8954449,pose,0.009681127046110728,0.07736424833568455,8.707415780629473,8.607405291740548,8.620457172393799,-0.08695860823567436,0.9900132702484332,0.013051880653250691,1.0015163548375925,0.012839673711516234,0.01595393439315051,0.03042679027429961,0.05255323071531318,0.06216449658229612,0.20389155222593058,0.045938479101105704,0.04756058227732413,0.08022703091782192,0.025920753632390218,4.353424039786679,4.2859410356492145,0.9844988672087244,goal_reached
s10septs4,6,4,measured,1789055150.6058404,pose,0.003166108976824306,0.02179601567021765,8.688371301713017,8.588360773059545,8.572476148605347,-0.11589515310767062,0.9866608885505594,-0.01588462445419836,0.9981504474632661,0.012644251196359492,0.015901058468773866,0.033732919034979686,0.05321389340898592,0.06159069662824691,0.1832883912709454,0.04862546675885762,0.047024439596592194,0.06383085150622969,0.009524574220798887,4.343906847928016,4.278122415398373,0.9848559292745834,goal_reached
s10septs4,7,4,measured,1789055172.1805415,pose,0.005995064851055433,0.13138308963246195,8.687813352148213,8.587802827807216,8.569454431533813,-0.11835892061439957,0.9863764429762831,-0.01834839627340301,0.9978634353115338,0.012392645644354041,0.015077536994807652,0.0303110532839491,0.052073659567229647,0.06076409921812303,0.17819444935238515,0.047978708683717765,0.0459200941498917,0.09244660530167248,0.038140328016241225,4.343630563335925,4.2845073911855085,0.9863885357448517,goal_reached
s10septs4,8,4,measured,1789055190.0359337,pose,0.0039671239295746225,0.0216615897900854,8.681647200667522,8.581636719664873,8.550738334655762,-0.13090886601175988,0.9849211949085314,-0.03089838500911135,0.9963994764613716,0.013594706371465867,0.01713489757722874,0.0402994628157315,0.05398817859356966,0.061814493357244676,0.1539331969643398,0.04811355712158195,0.0467743629454221,0.07003136626469299,0.015725088979261947,4.340543192454913,4.266016952239315,0.9828302042138078,goal_reached
s10septs4,9,4,measured,1789055210.593168,pose,0.009425790658632966,0.009803631055795873,8.673772172470368,8.573761730141875,8.542178869247437,-0.13159330322293172,0.9848285958396976,-0.031582860894438625,0.9963163355959139,0.011873653746250316,0.014609161268115652,0.030590620657103912,0.051136827829219224,0.05839308754362464,0.14664891226761836,0.0508951702539561,0.04796557569692796,0.08160418984245554,0.027297912557024295,4.336596889626018,4.2722233882394285,0.9851557562242911,goal_reached
s10septs4,10,4,measured,1789055231.7972238,pose,0.007103388429392261,0.021335550140781652,8.675387019443722,8.575376571201842,8.5426504611969,-0.1327365582468225,0.9846996384196662,-0.0327261100049423,0.9961837116150859,0.01304751178756185,0.015897092088159055,0.03224256580610461,0.05200315854704159,0.05959559258734719,0.15133328781756303,0.0531783784074737,0.04581698854708353,0.08310981382892792,0.028803536543496433,4.337402328494828,4.2709702554151345,0.9846839033946048,goal_reached
