session,run_index,scenario,start_pose_source,stamp,end_criterion,placement_error_xy,placement_error_yaw,theoretical_time,theoretical_time_to_radius,execution_time,time_overhead,time_ratio,time_overhead_to_radius,time_ratio_to_radius,cross_track_mean,cross_track_rms,cross_track_max,tracking_mean,tracking_rms,tracking_max,heading_error_rms,final_position_error,final_heading_error,final_heading_error_vs_entry,reference_path_length,executed_path_length,path_length_ratio,end_reason
s10septs2,1,2,measured,1789052211.5294683,pose,0.014823567093064706,0.12309836037898236,3.5696541760891405,3.51965417608914,44.08604168891907,40.51638751282993,12.350227645082155,40.56638751282993,12.5256742518679,0.026945743875336877,0.040481205888890925,0.16031675322929365,0.5029654653741511,0.583055091192454,0.7543300215112457,2.362424415239829,0.7048068817302247,2.8589024905572336,2.758902490557234,0.8875260481590148,2.489284848595107,2.8047456790238465,not_reached
s10septs2,2,2,measured,1789052255.8154519,pose,0.006181565535948804,0.020989251491080996,3.5333272752925384,3.483327275292538,4.283315420150757,0.7499881448582184,1.2122611596448065,0.7999881448582187,1.2296620677972425,0.0475480721106798,0.06262570638820329,0.13594819173359807,0.06042595196288156,0.08098570981249281,0.1962241499402037,0.7171349589014038,0.03978817262164893,0.09725231697482123,0.0027476830251787487,0.8780293219356174,1.0611895528884883,1.2086037748136857,goal_reached
s10septs2,3,2,measured,1789052292.07546,pose,0.01360925817202716,0.27728374774349973,3.4846688953566236,3.434668895356624,4.153475999832153,0.6688071044755297,1.1919284513276787,0.7188071044755295,1.2092798829742497,0.04056693940780905,0.053467328679155865,0.11566132970275646,0.04996518746796109,0.06564164984066133,0.16054798731270106,0.6423546094336624,0.026373374077472405,0.09246284387717285,0.007537156122827127,0.8796305775194473,1.0440549413092202,1.1869243384574562,goal_reached
s10septs2,4,2,measured,1789052315.6572862,pose,0.009580929394101838,0.20236930401903575,3.468756404607292,3.4187564046072914,4.114612817764282,0.6458564131569902,1.1861924960481938,0.6958564131569909,1.2035407998707421,0.03873473749045842,0.051327428046588436,0.11595354336906263,0.046753823617705366,0.06124833379985153,0.14939486468382723,0.6215364593020591,0.026595632889023505,0.0936693245348424,0.006330675465157588,0.8743007846114542,1.0261304542233445,1.1736583934090423,goal_reached
s10septs2,5,2,measured,1789052334.9797702,pose,0.015111267153691856,0.2855841856126915,3.3823260531193426,3.332326053119343,4.070355653762817,0.6880296006434747,1.2034190642291689,0.7380296006434746,1.2214758066524178,0.0366353057427447,0.04835481895776392,0.11460684185564941,0.04441907653271615,0.05925567881505585,0.14639434369383472,0.6874355660962941,0.01827210669640271,0.08660735057249341,0.013392649427506564,0.8689456016364503,1.014344823999115,1.167328336881895,goal_reached
s10septs2,6,2,measured,1789052354.761207,pose,0.012882574853137093,0.31838665595896964,3.360911292583406,3.310911292583406,4.008285284042358,0.6473739914589522,1.192618589156913,0.6973739914589525,1.2106290171594456,0.037944348192364565,0.04870273748954446,0.10922413866203176,0.04491911429547392,0.05775884634105516,0.13755262877061825,0.6254220213423423,0.023886411538595408,0.09267560482137316,0.007324395178626819,0.8725444211761277,1.0165155691316126,1.16500151105364,goal_reached
s10septs2,7,2,measured,1789052374.9246535,pose,0.018533210418502297,0.4037162077391765,3.2844020484345213,3.2344020484345215,9.452110052108765,6.167708003674243,2.8778785035206096,6.217708003674243,2.9223670745211368,0.060477124862076945,0.06757360883235305,0.1469190326152223,0.06716029969035095,0.07629799260077018,0.1995996775447413,0.47922928691745714,0.04798036600218783,0.04091637655675228,0.14091637655675227,0.8730027745541231,1.1394362073815152,1.3051919656996167,goal_reached
s10septs2,8,2,measured,1789052398.2152703,pose,0.01165457652388547,0.36566734339114104,3.334279733954175,3.2842797339541745,4.063088655471802,0.7288089215176266,1.2185806170057965,0.7788089215176273,1.2371323348209333,0.04974736579368971,0.06326575295212766,0.1348941615908852,0.05914377493808454,0.07671557663857989,0.18204138421614974,0.7046875789376494,0.042173259522241276,0.09209904015829391,0.007900959841706079,0.8856098577367257,1.070847733513502,1.2091641981607706,goal_reached
s10septs2,9,2,measured,1789052416.7350779,pose,0.002791487523133925,0.46804338644603916,3.3185330279080443,3.268533027908044,4.175196170806885,0.8566631428988405,1.2581451309040816,0.9066631428988408,1.2773914582344397,0.05264357196294051,0.06991438862155379,0.14627921783804426,0.08091005064016485,0.10562684807753815,0.27188721675632704,0.8800923072324663,0.04767187434364734,0.09167437229731613,0.00832562770268386,0.881467003044907,1.1305485302506488,1.282576121789385,goal_reached
s10septs2,10,2,measured,1789052436.7046692,pose,0.003863243742755325,0.2555543134995588,3.427042745634112,3.377042745634112,4.586794376373291,1.159751630739179,1.3384117785564966,1.209751630739179,1.3582281072110096,0.07217339549542465,0.09244969313475296,0.17549083244494793,0.14027109341782365,0.20103842678709408,0.4470800928264718,1.067014989281256,0.046643309682031064,0.08883107201351144,0.01116892798648861,0.8796753596065594,1.2305310734279895,1.3988468131906668,goal_reached
