session,run_index,scenario,start_pose_source,stamp,end_criterion,placement_error_xy,placement_error_yaw,theoretical_time,theoretical_time_to_radius,execution_time,time_overhead,time_ratio,time_overhead_to_radius,time_ratio_to_radius,cross_track_mean,cross_track_rms,cross_track_max,tracking_mean,tracking_rms,tracking_max,heading_error_rms,final_position_error,final_heading_error,final_heading_error_vs_entry,reference_path_length,executed_path_length,path_length_ratio,end_reason
s10septs3,1,3,measured,1789054691.2987804,pose,0.004172547338122842,0.026686137957130596,13.160458990331694,13.110458990331695,13.211451053619385,0.05099206328769057,1.003874641707037,0.1009920632876895,1.0077031676283925,0.02196946188953752,0.02957467105218485,0.09262498473347454,0.08472650178959337,0.11058832629871569,0.29089883534684824,0.2994327295484329,0.037160414967749175,0.09854199045306868,0.0014580095469314042,6.227341516357699,6.414755262314451,1.0300953055913926,goal_reached
s10septs3,2,3,measured,1789054725.3965533,pose,0.005907231780531322,0.014910484208322751,13.13433409330936,13.08433409330936,13.218178987503052,0.08384489419369245,1.0063836425659678,0.1338448941936914,1.0102294005364882,0.02036010126531527,0.024803796928289434,0.06295550540508452,0.051213270634173164,0.05615186782141274,0.17095911165604,0.15250659993344465,0.0356853857853308,0.09850332803952222,0.001496671960477624,6.2237143278100024,6.386435017752429,1.0261452697491797,goal_reached
s10septs3,3,3,measured,1789054754.4490342,pose,0.01056051005488315,0.008229138338426312,13.125471168590572,13.075471168590573,13.19188904762268,0.06641787903210883,1.0050602281761167,0.11641787903210776,1.0089035322345983,0.019369744316928016,0.02379379781826087,0.0592019075473206,0.05165500541103308,0.058607633108443566,0.1481926661932342,0.16362832127370772,0.039916074426917,0.09641986148073324,0.0035801385192672833,6.216559382644684,6.366044656597199,1.0240463035501353,goal_reached
s10septs3,4,3,measured,1789054782.762586,pose,0.012307332187113882,0.003594472560323414,13.124203584773806,13.074203584773807,13.219462394714355,0.09525880994054958,1.0072582545161877,0.14525880994054852,1.011110337161165,0.018850714945426676,0.022501160597625105,0.05598341237080913,0.04860436027691108,0.05314085883372417,0.15964245261231164,0.152798092323697,0.0260935422670492,0.09479527482038796,0.0052047251796121016,6.218222214727613,6.352702598316077,1.021626821773907,goal_reached
s10septs3,5,3,measured,1789054820.6362598,pose,0.007576653593520786,0.006242505748663918,13.143527113116996,13.093527113116997,13.246474266052246,0.10294715293525059,1.0078325362780673,0.15294715293524952,1.0116811269884665,0.020962775997042243,0.025741981910494243,0.06496163940647746,0.052631001954914484,0.0579760136850936,0.1397663819945324,0.15629440336502562,0.04718197110303224,0.09706800203098732,0.0029319979690131995,6.226979416482905,6.398437464624999,1.027534706102969,goal_reached
s10septs3,6,3,measured,1789054849.3327694,pose,0.004593703298686574,0.021790324759637377,13.14433453048477,13.09433453048477,13.247160911560059,0.10282638107528896,1.0078228670182436,0.1528263810752879,1.0116711834969156,0.020438336311410676,0.024865076036063416,0.05934805626600371,0.051272595222856855,0.056289891458196226,0.13721697770256466,0.15638808884663652,0.03789453831947279,0.09533221609589759,0.0046677839041026955,6.222145716658659,6.377785814938253,1.0250138947827752,goal_reached
s10septs3,7,3,measured,1789054879.4053323,pose,0.00696683804803783,0.02792535877988267,13.146137329827884,13.096137329827883,13.274927854537964,0.12879052471008023,1.0097968339656593,0.17879052471008094,1.0136521571366595,0.020311551738554912,0.024276090967727,0.05699725404970678,0.050536564649966885,0.054106927984381076,0.12703848247889854,0.14677685956402378,0.040487808642559284,0.09162264821311683,0.008377351786883234,6.222275605422973,6.386153688090911,1.0263373230406432,goal_reached
s10septs3,8,3,measured,1789054912.2343073,pose,0.009810674504041059,0.03181520894519574,13.150638501493361,13.100638501493362,13.233243703842163,0.08260520234880175,1.006281459439359,0.1326052023488007,1.0101220411763658,0.0201780998363817,0.025135355469529597,0.06506001350939163,0.05138257339179567,0.059063258858970305,0.15076353859458985,0.17275696896094928,0.03953333090454957,0.09368019956609408,0.006319800433905987,6.224658380206756,6.404289850613541,1.0288580448009772,goal_reached
s10septs3,9,3,measured,1789054946.3181574,pose,0.004209469115623874,0.046694110428348035,13.124103362929652,13.074103362929653,13.172452449798584,0.04834908686893158,1.003683991624563,0.09834908686893051,1.0075224345516336,0.01928116386857061,0.023437939590349142,0.06198792426238074,0.049099762943260274,0.05462722212504109,0.15294902086317103,0.15660544384428007,0.028411825670777928,0.09550074453734549,0.004499255462654372,6.227593395217303,6.370295570799495,1.022914497868757,goal_reached
s10septs3,10,3,measured,1789054977.4376783,pose,0.009743253826027958,0.010387190795616563,13.152634165489854,13.102634165489855,13.232302904129028,0.07966873863917456,1.0060572458441983,0.1296687386391735,1.0098963870166426,0.0192280631470238,0.02326903949159251,0.05372979022524916,0.04813252449154486,0.0518566266162971,0.11179067006024922,0.14411486196633272,0.024181503907021208,0.09716630903507319,0.0028336909649266714,6.225596636539423,6.374674485798041,1.023945953771506,goal_reached
